# z   n(z)
0.30380 0.28454
0.30420 0.28580
0.30460 0.28706
0.30501 0.28832
0.30541 0.28958
0.30581 0.29084
0.30621 0.29209
0.30661 0.29335
0.30701 0.29461
0.30741 0.29587
0.30781 0.29621
0.30821 0.29627
0.30861 0.29633
0.30901 0.29639
0.30941 0.29645
0.30981 0.29651
0.31021 0.29657
0.31061 0.29663
0.31101 0.29669
0.31141 0.29675
0.31181 0.29681
0.31221 0.29687
0.31261 0.29745
0.31301 0.29932
0.31341 0.30120
0.31381 0.30308
0.31421 0.30495
0.31461 0.30683
0.31502 0.30870
0.31542 0.31058
0.31582 0.31246
0.31622 0.31433
0.31662 0.31621
0.31702 0.31809
0.31742 0.31996
0.31782 0.32001
0.31822 0.31958
0.31862 0.31915
0.31902 0.31872
0.31942 0.31828
0.31982 0.31785
0.32022 0.31742
0.32062 0.31699
0.32102 0.31656
0.32142 0.31613
0.32182 0.31570
0.32222 0.31527
0.32262 0.31502
0.32302 0.31518
0.32342 0.31535
0.32382 0.31551
0.32422 0.31567
0.32462 0.31584
0.32503 0.31600
0.32543 0.31617
0.32583 0.31633
0.32623 0.31649
0.32663 0.31666
0.32703 0.31682
0.32743 0.31699
0.32783 0.31727
0.32823 0.31759
0.32863 0.31791
0.32903 0.31823
0.32943 0.31854
0.32983 0.31886
0.33023 0.31918
0.33063 0.31950
0.33103 0.31981
0.33143 0.32013
0.33183 0.32045
0.33223 0.32076
0.33263 0.32173
0.33303 0.32401
0.33343 0.32629
0.33383 0.32857
0.33423 0.33084
0.33463 0.33312
0.33504 0.33540
0.33544 0.33768
0.33584 0.33996
0.33624 0.34223
0.33664 0.34451
0.33704 0.34679
0.33744 0.34907
0.33784 0.34843
0.33824 0.34725
0.33864 0.34607
0.33904 0.34489
0.33944 0.34371
0.33984 0.34253
0.34024 0.34135
0.34064 0.34016
0.34104 0.33898
0.34144 0.33780
0.34184 0.33662
0.34224 0.33544
0.34264 0.33411
0.34304 0.33251
0.34344 0.33092
0.34384 0.32932
0.34424 0.32772
0.34464 0.32612
0.34505 0.32453
0.34545 0.32293
0.34585 0.32133
0.34625 0.31973
0.34665 0.31813
0.34705 0.31654
0.34745 0.31494
0.34785 0.31431
0.34825 0.31384
0.34865 0.31336
0.34905 0.31288
0.34945 0.31240
0.34985 0.31193
0.35025 0.31145
0.35065 0.31097
0.35105 0.31050
0.35145 0.31002
0.35185 0.30954
0.35225 0.30906
0.35265 0.30791
0.35305 0.30566
0.35345 0.30341
0.35385 0.30116
0.35425 0.29892
0.35465 0.29667
0.35506 0.29442
0.35546 0.29217
0.35586 0.28992
0.35626 0.28767
0.35666 0.28542
0.35706 0.28318
0.35746 0.28093
0.35786 0.28048
0.35826 0.28024
0.35866 0.28001
0.35906 0.27978
0.35946 0.27954
0.35986 0.27931
0.36026 0.27908
0.36066 0.27884
0.36106 0.27861
0.36146 0.27837
0.36186 0.27814
0.36226 0.27791
0.36266 0.27699
0.36306 0.27507
0.36346 0.27315
0.36386 0.27123
0.36426 0.26932
0.36466 0.26740
0.36507 0.26548
0.36547 0.26356
0.36587 0.26164
0.36627 0.25972
0.36667 0.25781
0.36707 0.25589
0.36747 0.25397
0.36787 0.25408
0.36827 0.25437
0.36867 0.25466
0.36907 0.25495
0.36947 0.25524
0.36987 0.25553
0.37027 0.25582
0.37067 0.25611
0.37107 0.25640
0.37147 0.25670
0.37187 0.25699
0.37227 0.25728
0.37267 0.25691
0.37307 0.25569
0.37347 0.25447
0.37387 0.25325
0.37427 0.25203
0.37467 0.25081
0.37508 0.24959
0.37548 0.24837
0.37588 0.24715
0.37628 0.24593
0.37668 0.24471
0.37708 0.24349
0.37748 0.24227
0.37788 0.24030
0.37828 0.23829
0.37868 0.23628
0.37908 0.23427
0.37948 0.23225
0.37988 0.23024
0.38028 0.22823
0.38068 0.22622
0.38108 0.22421
0.38148 0.22220
0.38188 0.22018
0.38228 0.21817
0.38268 0.21697
0.38308 0.21672
0.38348 0.21648
0.38388 0.21623
0.38428 0.21598
0.38468 0.21574
0.38509 0.21549
0.38549 0.21525
0.38589 0.21500
0.38629 0.21475
0.38669 0.21451
0.38709 0.21426
0.38749 0.21402
0.38789 0.21321
0.38829 0.21239
0.38869 0.21156
0.38909 0.21074
0.38949 0.20991
0.38989 0.20909
0.39029 0.20826
0.39069 0.20744
0.39109 0.20662
0.39149 0.20579
0.39189 0.20497
0.39229 0.20414
0.39269 0.20347
0.39309 0.20297
0.39349 0.20247
0.39389 0.20197
0.39429 0.20146
0.39469 0.20096
0.39510 0.20046
0.39550 0.19996
0.39590 0.19945
0.39630 0.19895
0.39670 0.19845
0.39710 0.19795
0.39750 0.19744
0.39790 0.19671
0.39830 0.19598
0.39870 0.19524
0.39910 0.19451
0.39950 0.19378
0.39990 0.19304
0.40030 0.19231
0.40070 0.19158
0.40110 0.19084
0.40150 0.19011
0.40190 0.18937
0.40230 0.18864
0.40270 0.18768
0.40310 0.18649
0.40350 0.18530
0.40390 0.18411
0.40430 0.18293
0.40470 0.18174
0.40511 0.18055
0.40551 0.17936
0.40591 0.17817
0.40631 0.17699
0.40671 0.17580
0.40711 0.17461
0.40751 0.17343
0.40791 0.17286
0.40831 0.17228
0.40871 0.17170
0.40911 0.17112
0.40951 0.17054
0.40991 0.16997
0.41031 0.16939
0.41071 0.16881
0.41111 0.16823
0.41151 0.16765
0.41191 0.16708
0.41231 0.16650
0.41271 0.16583
0.41311 0.16509
0.41351 0.16435
0.41391 0.16361
0.41431 0.16287
0.41471 0.16213
0.41512 0.16139
0.41552 0.16065
0.41592 0.15991
0.41632 0.15917
0.41672 0.15843
0.41712 0.15769
0.41752 0.15695
0.41792 0.15624
0.41832 0.15553
0.41872 0.15481
0.41912 0.15410
0.41952 0.15338
0.41992 0.15267
0.42032 0.15196
0.42072 0.15124
0.42112 0.15053
0.42152 0.14981
0.42192 0.14910
0.42232 0.14838
0.42272 0.14762
0.42312 0.14681
0.42352 0.14599
0.42392 0.14518
0.42432 0.14437
0.42472 0.14356
0.42513 0.14275
0.42553 0.14194
0.42593 0.14113
0.42633 0.14032
0.42673 0.13950
0.42713 0.13869
0.42753 0.13787
0.42793 0.13691
0.42833 0.13595
0.42873 0.13499
0.42913 0.13404
0.42953 0.13308
0.42993 0.13212
0.43033 0.13116
0.43073 0.13020
0.43113 0.12924
0.43153 0.12828
0.43193 0.12732
0.43233 0.12636
0.43273 0.12544
0.43313 0.12453
0.43353 0.12362
0.43393 0.12272
0.43433 0.12181
0.43473 0.12091
0.43514 0.12000
0.43554 0.11910
0.43594 0.11819
0.43634 0.11728
0.43674 0.11638
0.43714 0.11547
0.43754 0.11457
0.43794 0.11371
0.43834 0.11285
0.43874 0.11199
0.43914 0.11113
0.43954 0.11027
0.43994 0.10941
0.44034 0.10855
0.44074 0.10769
0.44114 0.10683
0.44154 0.10597
0.44194 0.10511
0.44234 0.10425
0.44274 0.10333
0.44314 0.10237
0.44354 0.10141
0.44394 0.10045
0.44434 0.09949
0.44474 0.09853
0.44515 0.09757
0.44555 0.09661
0.44595 0.09565
0.44635 0.09469
0.44675 0.09373
0.44715 0.09277
0.44755 0.09178
0.44795 0.09062
0.44835 0.08945
0.44875 0.08829
0.44915 0.08712
0.44955 0.08595
0.44995 0.08479
0.45035 0.08362
0.45075 0.08246
0.45115 0.08129
0.45155 0.08013
0.45195 0.07896
0.45235 0.07780
0.45275 0.07644
0.45315 0.07497
0.45355 0.07351
0.45395 0.07204
0.45435 0.07058
0.45475 0.06911
0.45516 0.06764
0.45556 0.06618
0.45596 0.06471
0.45636 0.06325
0.45676 0.06178
0.45716 0.06032
0.45756 0.05890
0.45796 0.05777
0.45836 0.05664
0.45876 0.05551
0.45916 0.05438
0.45956 0.05325
0.45996 0.05212
0.46036 0.05098
0.46076 0.04985
0.46116 0.04872
0.46156 0.04759
0.46196 0.04646
0.46236 0.04533
0.46276 0.04429
0.46316 0.04329
0.46356 0.04229
0.46396 0.04130
0.46436 0.04030
0.46476 0.03930
0.46517 0.03830
0.46557 0.03731
